2026-08-09 19:37:43,098 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:47:38,039 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:47:40,414 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.6621 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 19:47:42,711 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 19:47:44,971 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 19:47:47,205 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:47:49,499 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:47:51,768 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9754 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:47:54,127 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:47:56,366 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 19:47:58,621 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.7667 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 19:48:00,870 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7831 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:48:03,127 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9174 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:48:05,415 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.909 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:48:07,644 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9984 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:48:09,904 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9994 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:48:12,129 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:14,333 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:48:16,652 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:18,916 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:48:21,207 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9872 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:48:23,474 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:26,010 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.602 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:48:28,303 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:30,616 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9973 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:32,832 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9949 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:35,050 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:37,292 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 19:48:39,560 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:48:45,522 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9711 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:48:47,825 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.5873 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:48:50,771 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:48:53,006 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9885 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:48:55,275 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 19:48:57,504 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 19:48:59,768 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:49:02,084 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7908 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:49:04,326 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 19:49:06,640 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9251 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:49:08,870 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9927 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 19:49:12,000 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:04:25,354 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:04:25,366 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9941 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:04:27,862 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.6621 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:27,879 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.6621 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:04:30,334 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:30,349 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:04:39,714 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5 | Relevance=Irrelevant Content | Impact=LOW IMPACT
